"","ACCURACY","FNR","PRECISION","RECALL","F1Score","model"
"1",0.9211721,0.3024704,0.9122669,0.6975296,0.7905759,"LR"
"2",0.9212409,0.3059943,0.9128929,0.6940057,0.7885412,"LR"
"3",0.9211281,0.3097199,0.908155,0.6902801,0.7843688,"LR"
"4",0.9220696,0.3022403,0.9104438,0.6977597,0.790038,"LR"
"5",0.9216929,0.3041725,0.9154071,0.6958275,0.7906551,"LR"
"6",0.9205547,0.3070866,0.9110698,0.6929134,0.787156,"LR"
"7",0.9217607,0.3042596,0.9124767,0.6957404,0.789504,"LR"
"8",0.9198594,0.3071199,0.9094509,0.6928801,0.7865297,"LR"
"9",0.9191079,0.3080929,0.9084692,0.6919071,0.7855356,"LR"
"10",0.9220227,0.2979984,0.9061429,0.7020016,0.7911152,"LR"
"11",0.914495049504951,0.290656799259944,0.867028493894166,0.709343200740056,0.780299175740307,"NB"
"12",0.914452057507228,0.287710024542194,0.8557496030846,0.712289975457806,0.77745724294251,"NB"
"13",0.914340026137579,0.29292364990689,0.865511739229542,0.70707635009311,0.778313006046941,"NB"
"14",0.915111903347197,0.276537335285505,0.862159214830971,0.723462664714495,0.786744949746243,"NB"
"15",0.914682932625658,0.290615727002967,0.866953762466002,0.709384272997033,0.780293757649939,"NB"
"16",0.914680497268192,0.279772810553316,0.862250493529283,0.720227189446684,0.784865728261955,"NB"
"17",0.915571043877713,0.279507738206228,0.85923949299533,0.720492261793772,0.783772819472617,"NB"
"18",0.912824778200254,0.286240559955793,0.856921716054843,0.713759440044207,0.778816199376947,"NB"
"19",0.915950750227642,0.274778106508876,0.860276376398333,0.725221893491124,0.786997090398314,"NB"
"20",0.914511977826173,0.284261142962826,0.86153161175423,0.715738857037174,0.781897161329427,"NB"
"21",0.905274829716458,0.306183448533533,0.831430490261921,0.693816551466467,0.756415478615071,"RF"
"22",0.905929417356518,0.310305988361179,0.835759781619654,0.689694011638821,0.755733827008125,"RF"
"23",0.906823939202027,0.304645567277438,0.841433370660694,0.695354432722562,0.761451155249291,"RF"
"24",0.905987644543007,0.301249081557678,0.838254737769943,0.698750918442322,0.762171909436987,"RF"
"25",0.90515227119718,0.306526160103531,0.83578431372549,0.693473839896469,0.758007477013236,"RF"
"26",0.903549077081518,0.305925925925926,0.827190465680865,0.694074074074074,0.754808176417279,"RF"
"27",0.903315245375688,0.308319436724106,0.827716186252772,0.691680563275894,0.75360855960432,"RF"
"28",0.906473965551376,0.294247787610619,0.833260774923814,0.705752212389381,0.764224396087043,"RF"
"29",0.905244810648075,0.30917242667663,0.833821871476888,0.69082757332337,0.755619125459747,"RF"
"30",0.90590099009901,0.306950880444856,0.838528818120655,0.693049119555144,0.758879642784656,"RF"
